Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
AXUMEL-S2,M06L,def2-TZVP,765.0,0.0,4.0,0.046783,450.67,2037.3,16.0,171546.0,-5691.49400026,-5691.27147502,0.07617607,-5691.34765109,17.68,23.5,28.75,32.87,
AZULIQ-S6,M06L,def2-TZVP,1031.0,0.0,4.0,0.423562,458.28,3624.8,16.0,224086.0,-3143.99023919,-3143.50464184,0.08938143,-3143.59402328,16.76,29.42,31.42,37.98,
BIKZUQ10-S6,M06L,def2-TZVP,959.0,0.0,4.0,0.107713,443.45,3607.5,16.0,108207.0,-3038.36375395,-3038.0214423,0.08652656,-3038.10796886,24.91,29.53,30.01,32.02,
BUBGEL-S6,M06L,def2-TZVP,1483.0,0.0,4.0,0.14073,618.22,3588.3,16.0,645763.0,-3990.42694344,-3989.59107972,0.13855385,-3989.72963357,25.52,30.34,35.52,45.19,
BUBGUB-S6,M06L,def2-TZVP,1447.0,0.0,4.0,0.13272,521.74,3615.1,16.0,589933.0,-2481.84619247,-2480.95806077,0.10783243,-2481.0658932,43.1,43.55,56.88,63.0,
BUSMOR-S6,M06L,def2-TZVP,843.0,0.0,4.0,0.12598,380.85,4186.8,16.0,182433.0,-3045.29432202,-3044.78091212,0.07337845,-3044.85429057,99.34,106.56,107.78,132.62,
CAZZUY-S6,M06L,def2-TZVP,1189.0,0.0,4.0,0.211026,473.49,3625.4,16.0,309376.0,-2851.19007821,-2850.51807404,0.10339152,-2850.62146556,15.94,24.59,37.51,38.49,
CEBBAM-S2,M06L,def2-TZVP,1053.0,0.0,4.0,0.192654,459.34,3616.4,16.0,374178.0,-3302.86110892,-3302.27101552,0.09822573,-3302.36924124,25.06,25.48,34.62,42.97,
EQEGEN-S6,M06L,def2-TZVP,1279.0,0.0,4.0,0.287093,543.62,3600.5,16.0,358992.0,-3283.99457298,-3283.46131328,0.10870846,-3283.57002174,10.75,12.68,15.77,17.14,
GIQMUO-S6,M06L,def2-TZVP,1116.0,0.0,4.0,0.49888,567.16,3622.0,16.0,101381.0,-3373.79464017,-3373.52401913,0.10086665,-3373.62488579,14.68,15.61,16.35,20.53,
HEVCEQ-S6,M06L,def2-TZVP,857.0,0.0,4.0,0.036112,380.26,3612.2,16.0,108641.0,-2842.22357495,-2841.7459621,0.06932802,-2841.81529013,98.82,106.4,118.27,140.52,
IKEQUK-S6,M06L,def2-TZVP,1527.0,0.0,4.0,0.601293,655.68,12074.2,28.0,604223.0,-3729.63347108,-3729.05480258,0.12538913,-3729.18019171,5.86,7.96,10.59,14.53,
IMAFEH-S4,M06L,def2-TZVP,1813.0,0.0,4.0,0.712441,725.67,7166.6,16.0,555289.0,-3315.35470913,-3314.72091969,0.10811212,-3314.82903181,16.76,19.53,19.99,29.04,
KASNUQ-S6,M06L,def2-TZVP,1437.0,0.0,4.0,0.411248,701.3,3617.3,16.0,274491.0,-7904.57809583,-7903.99296805,0.1014395,-7904.09440755,19.41,27.25,30.06,36.32,
KEYPIT-S6,M06L,def2-TZVP,799.0,0.0,4.0,0.095812,367.19,2463.6,16.0,139332.0,-2323.33526694,-2323.06397251,0.07891017,-2323.14288268,25.92,27.99,32.37,44.21,
MNPHCY21-S4,M06L,def2-TZVP,1381.0,0.0,4.0,0.480231,567.47,3605.8,16.0,205816.0,-2818.63205695,-2818.18965664,0.08275795,-2818.27241459,19.96,40.28,55.71,61.6,
NUYZIS-S6,M06L,def2-TZVP,855.0,0.0,4.0,0.154345,379.5,3623.2,16.0,282778.0,-2969.29379954,-2968.77373003,0.09503341,-2968.86876344,26.03,35.1,48.25,53.47,
ODIZEG-S2,M06L,def2-TZVP,1103.0,0.0,4.0,0.116149,445.44,3597.4,16.0,205185.0,-2772.61840812,-2772.00371913,0.10252404,-2772.10624317,11.73,15.34,39.28,39.59,
OKUXUO-S6,M06L,def2-TZVP,978.0,0.0,4.0,0.621599,445.44,3624.3,16.0,161624.0,-3008.75856836,-3008.43108099,0.07955295,-3008.51063394,18.29,23.05,24.62,41.48,
QABBAA-S6,M06L,def2-TZVP,1669.0,0.0,4.0,0.38315,650.11,7219.2,16.0,841127.0,-3656.27969997,-3655.20707681,0.15157613,-3655.35865294,24.09,26.07,30.44,39.58,
SEWMUC-S6,M06L,def2-TZVP,3107.0,0.0,4.0,,1284.2,779.9,16.0,,,,,,,,,, SCF NOT CONVERGED
SUTWOT-S6,M06L,def2-TZVP,1889.0,0.0,4.0,0.530805,861.48,23408.3,16.0,2232826.0,-4319.15535426,-4318.62174294,0.13749775,-4318.75924068,3.02,6.52,6.62,9.39,
TAWFUT-S6,M06L,def2-TZVP,1563.0,0.0,4.0,0.314504,707.8,7167.6,16.0,557648.0,-4534.24829747,-4533.5960785,0.09481062,-4533.69088913,58.48,65.43,69.75,73.37,
TOGPEK-S6,M06L,def2-TZVP,1821.0,0.0,4.0,0.707482,848.22,7147.2,16.0,605822.0,-6018.64933077,-6017.86721674,0.1085971,-6017.97581384,70.19,87.85,88.85,91.37,
TUSBIT-S6,M06L,def2-TZVP,904.0,0.0,4.0,0.596192,405.23,3502.6,16.0,133116.0,-2438.75270333,-2438.44158049,0.07930931,-2438.5208898,24.74,45.77,49.79,57.51,
VAQDUM-S6,M06L,def2-TZVP,1703.0,0.0,4.0,0.588062,781.42,19518.3,16.0,2386202.0,-4023.94241188,-4023.44355509,0.12417283,-4023.56772792,8.19,9.97,13.24,16.74,
VEBJOB-S6,M06L,def2-TZVP,1447.0,0.0,4.0,0.138487,521.74,3616.1,16.0,464271.0,-2481.87555652,-2480.98373877,0.11128128,-2481.09502005,5.75,50.82,70.54,72.83,
XAKDOE01-S6,M06L,def2-TZVP,823.0,0.0,4.0,0.250815,389.37,2763.7,16.0,91486.0,-2859.08547615,-2858.79163468,0.07554975,-2858.86718443,25.54,28.94,35.9,39.1,
XAMWEP-S6,M06L,def2-TZVP,1630.0,0.0,4.0,1.713393,621.71,7186.8,16.0,640931.0,-2881.8966802,-2881.13907985,0.1147568,-2881.25383665,15.21,19.8,26.09,29.7,
ZIMGIL-S6,M06L,def2-TZVP,1355.0,0.0,4.0,0.520607,573.44,3610.1,16.0,425829.0,-2968.56151724,-2968.07031453,0.09537654,-2968.16569107,11.85,22.74,26.27,37.71,
